system,tier,ref,mult,func,converger,natom,charge,converged,niter,micro,fock_builds,time,E
t0_h2o,0,rhf,1,hf,trah,3,0,True,3,18,21,1.63,-75.9622502148
t0_h2o,0,rhf,1,hf,soscf,3,0,True,13,0,13,1.64,-75.9622502148
t0_h2o,0,rhf,1,hf,cdiis,3,0,True,13,0,13,1.65,-75.9622502148
t0_ch4,0,rhf,1,hf,trah,5,0,True,3,15,18,1.78,-40.1714723489
t0_h2o,0,rhf,1,hf,adiis,3,0,True,32,0,32,1.81,-75.9622502148
t0_ch4,0,rhf,1,hf,cdiis,5,0,True,10,0,10,1.9,-40.1714723489
t0_ch4,0,rhf,1,hf,soscf,5,0,True,11,0,11,1.9,-40.1714723489
t0_ch4,0,rhf,1,hf,adiis,5,0,True,31,0,31,2.09,-40.1714723489
t0_h2o,0,rhf,1,hf,ediis,3,0,True,64,0,64,2.77,-75.9622502148
t0_ch4,0,rhf,1,hf,ediis,5,0,True,46,0,46,2.99,-40.1714723489
t0_nh3,0,rhf,1,hf,cdiis,4,0,True,13,0,13,1.95,-56.1503451938
t0_nh3,0,rhf,1,hf,trah,4,0,True,3,18,21,1.84,-56.1503451938
t0_nh3,0,rhf,1,hf,soscf,4,0,True,13,0,13,2.08,-56.1503451938
t0_nh3,0,rhf,1,hf,adiis,4,0,True,32,0,32,2.22,-56.1503451938
t0_h2o,0,rhf,1,b3lypv5,trah,3,0,True,3,15,18,4.56,-76.3224998148
t0_nh3,0,rhf,1,hf,ediis,4,0,True,69,0,69,3.54,-56.1503451938
t0_h2o,0,rhf,1,b3lypv5,cdiis,3,0,True,10,0,10,7.19,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,soscf,3,0,True,11,0,11,7.19,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,adiis,3,0,True,30,0,30,8.97,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,ediis,3,0,True,44,0,44,10.74,-76.3224998148
t0_ch4,0,rhf,1,b3lypv5,trah,5,0,True,4,18,22,10.2,-40.4524527635
t0_nh3,0,rhf,1,b3lypv5,cdiis,4,0,True,10,0,10,10.87,-56.4735634773
t0_ch4,0,rhf,1,b3lypv5,cdiis,5,0,True,9,0,9,13.72,-40.4524527635
t0_nh3,0,rhf,1,b3lypv5,soscf,4,0,True,11,0,11,11.27,-56.4735634773
t0_ch4,0,rhf,1,b3lypv5,soscf,5,0,True,10,0,10,14.39,-40.4524527635
t0_o2,0,uhf,3,hf,cdiis,2,0,True,13,0,13,2.59,-149.4939967112
t0_nh3,0,rhf,1,b3lypv5,adiis,4,0,True,30,0,30,13.43,-56.4735634773
t0_nh3,0,rhf,1,b3lypv5,trah,4,0,True,4,19,23,13.1,-56.4735634773
t0_ch4,0,rhf,1,b3lypv5,ediis,5,0,True,28,0,28,17.04,-40.4524527635
t0_ch4,0,rhf,1,b3lypv5,adiis,5,0,True,30,0,30,17.16,-40.4524527635
t0_nh3,0,rhf,1,b3lypv5,ediis,4,0,True,43,0,43,15.15,-56.4735634773
t0_o2,0,uhf,3,hf,soscf,2,0,True,13,0,13,2.11,-149.4939967112
t0_o2,0,uhf,3,hf,adiis,2,0,True,33,0,33,2.49,-149.4939967112
t0_o2,0,uhf,3,hf,ediis,2,0,True,65,0,65,3.76,-149.4939967112
t0_o2,0,uhf,3,hf,trah,2,0,True,3,19,22,2.2,-149.4939967112
t0_o2,0,uhf,3,b3lypv5,adiis,2,0,True,30,0,30,5.93,-150.1489223974
t0_o2,0,rohf,3,hf,adiis,2,0,True,41,0,41,4.5,-149.4742794712
t0_o2,0,rohf,3,hf,cdiis,2,0,True,22,0,22,4.73,-149.4742794712
t0_o2,0,rohf,3,hf,ediis,2,0,True,62,0,62,5.14,-149.4742794712
t0_o2,0,uhf,3,b3lypv5,cdiis,2,0,True,10,0,10,8.24,-150.1489223974
t0_o2,0,uhf,3,b3lypv5,soscf,2,0,True,11,0,11,8.66,-150.1489223974
t0_o2,0,uhf,3,b3lypv5,trah,2,0,True,4,20,24,8.6,-150.1489223974
t0_o2,0,rohf,3,hf,soscf,2,0,True,23,0,23,5.1,-149.4742794712
t0_o2,0,uhf,3,b3lypv5,ediis,2,0,True,39,0,39,11.28,-150.1489223974
t0_o2,0,rohf,3,hf,trah,2,0,True,15,209,224,5.62,-149.4742794712
t0_benzene,0,rhf,1,hf,trah,12,0,True,3,17,20,22.58,-230.5540643753
t0_ch3,0,uhf,2,hf,cdiis,4,0,True,13,0,13,2.56,-39.5355066277
t0_ch3,0,uhf,2,hf,adiis,4,0,True,34,0,34,3.08,-39.5355066277
t0_o2,0,rohf,3,b3lypv5,cdiis,2,0,True,10,0,10,8.69,-150.1449858888
t0_ch3,0,uhf,2,hf,soscf,4,0,True,15,0,15,2.81,-39.5355066277
t0_ch3,0,uhf,2,hf,trah,4,0,True,3,18,21,2.38,-39.5355066277
t0_ch3,0,uhf,2,hf,ediis,4,0,True,95,0,95,5.06,-39.5355066277
t0_o2,0,rohf,3,b3lypv5,trah,2,0,True,4,21,25,7.62,-150.1449858888
t0_o2,0,rohf,3,b3lypv5,soscf,2,0,True,10,0,10,8.62,-150.1449858888
t0_o2,0,rohf,3,b3lypv5,adiis,2,0,True,29,0,29,10.23,-150.1449858888
t0_o2,0,rohf,3,b3lypv5,ediis,2,0,True,44,0,44,12.0,-150.1449858888
t0_ch3,0,rohf,2,hf,cdiis,4,0,True,11,0,11,2.81,-39.5314158333
t0_benzene,0,rhf,1,hf,cdiis,12,0,True,11,0,11,33.59,-230.5540643753
t0_ch3,0,rohf,2,hf,adiis,4,0,True,31,0,31,2.91,-39.5314158333
t0_ch3,0,rohf,2,hf,soscf,4,0,True,12,0,12,2.75,-39.5314158333
t0_ch3,0,rohf,2,hf,ediis,4,0,True,52,0,52,3.81,-39.5314158333
t0_ch3,0,rohf,2,hf,trah,4,0,True,4,33,37,2.76,-39.5314158333
t0_benzene,0,rhf,1,hf,soscf,12,0,True,11,0,11,36.67,-230.5540643753
t0_ch3,0,uhf,2,b3lypv5,cdiis,4,0,True,11,0,11,14.41,-39.7780446610
t0_ch3,0,uhf,2,b3lypv5,soscf,4,0,True,11,0,11,14.94,-39.7780446610
t0_ch3,0,rohf,2,b3lypv5,trah,4,0,True,3,14,17,10.14,-39.7765865607
t0_ch3,0,uhf,2,b3lypv5,adiis,4,0,True,31,0,31,18.15,-39.7780446610
t0_benzene,0,rhf,1,hf,adiis,12,0,True,30,0,30,47.88,-230.5540643753
t0_ch3,0,uhf,2,b3lypv5,ediis,4,0,True,46,0,46,20.75,-39.7780446610
t0_ch3,0,rohf,2,b3lypv5,cdiis,4,0,True,10,0,10,15.11,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,soscf,4,0,True,9,0,9,15.1,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,adiis,4,0,True,30,0,30,18.13,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,ediis,4,0,True,51,0,51,22.58,-39.7765865607
t0_benzene,0,rhf,1,hf,ediis,12,0,True,51,0,51,63.99,-230.5540643753
t1_glycine,1,rhf,1,hf,cdiis,10,0,True,17,0,17,26.23,-282.6267002902
t1_glycine,1,rhf,1,hf,trah,10,0,True,4,34,38,21.07,-282.6267002902
