system,tier,ref,mult,func,converger,natom,charge,converged,niter,time,E
t0_h2o,0,rhf,1,hf,cdiis,3,0,True,13,1.06,-75.9622502148
t0_h2o,0,rhf,1,hf,soscf,3,0,True,13,1.06,-75.9622502148
t0_h2o,0,rhf,1,hf,adiis,3,0,True,32,1.16,-75.9622502148
t0_h2o,0,rhf,1,hf,ediis,3,0,True,64,1.73,-75.9622502148
t0_h2o,0,rhf,1,hf,trah,3,0,True,3,1.01,-75.9622502148
t0_h2o,0,rhf,1,b3lypv5,cdiis,3,0,True,10,5.36,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,soscf,3,0,True,11,5.38,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,adiis,3,0,True,30,6.46,-76.3224998148
t0_ch4,0,rhf,1,hf,cdiis,5,0,True,11,1.14,-40.1714723489
t0_h2o,0,rhf,1,b3lypv5,ediis,3,0,True,48,7.69,-76.3224998148
t0_h2o,0,rhf,1,b3lypv5,trah,3,0,True,3,3.31,-76.3224998148
t0_ch4,0,rhf,1,hf,adiis,5,0,True,31,1.25,-40.1714723489
t0_ch4,0,rhf,1,hf,ediis,5,0,True,46,1.75,-40.1714723489
t0_ch4,0,rhf,1,hf,soscf,5,0,True,11,1.14,-40.1714723489
t0_ch4,0,rhf,1,hf,trah,5,0,True,3,1.09,-40.1714723489
t0_ch4,0,rhf,1,b3lypv5,cdiis,5,0,True,9,9.93,-40.4524527635
t0_ch4,0,rhf,1,b3lypv5,soscf,5,0,True,10,10.1,-40.4524527635
t0_nh3,0,rhf,1,hf,cdiis,4,0,True,13,1.1,-56.1503451938
t0_ch4,0,rhf,1,b3lypv5,ediis,5,0,True,28,12.2,-40.4524527635
t0_ch4,0,rhf,1,b3lypv5,adiis,5,0,True,30,12.34,-40.4524527635
t0_nh3,0,rhf,1,hf,adiis,4,0,True,32,1.13,-56.1503451938
t0_nh3,0,rhf,1,hf,soscf,4,0,True,13,1.06,-56.1503451938
t0_nh3,0,rhf,1,hf,ediis,4,0,True,69,1.87,-56.1503451938
t0_nh3,0,rhf,1,hf,trah,4,0,True,3,1.02,-56.1503451938
t0_ch4,0,rhf,1,b3lypv5,trah,5,0,True,4,6.93,-40.4524527635
t0_nh3,0,rhf,1,b3lypv5,cdiis,4,0,True,10,7.33,-56.4735634773
t0_nh3,0,rhf,1,b3lypv5,adiis,4,0,True,30,9.11,-56.4735634773
