system,func,method,noise,seed,iters,conv,E
t0_benzene,b3lyp5,diis,0e+00,1,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,1,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,10,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,11,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,12,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,13,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,14,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,15,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,16,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,17,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,18,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,19,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,2,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,20,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,21,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,22,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,23,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,24,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,25,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,26,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,27,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,28,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,29,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,3,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,30,-1,TIMEOUT,nan
t0_benzene,b3lyp5,diis,1e-07,4,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,5,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,6,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,7,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,8,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-07,9,100,False,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,1,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,10,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,11,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,12,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,13,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,14,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,15,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,16,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,17,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,18,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,19,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,2,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,20,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,21,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,22,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,23,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,24,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,25,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,26,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,27,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,28,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,29,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,3,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,30,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,4,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,5,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,6,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,7,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,8,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-08,9,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,1,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,10,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,11,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,12,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,13,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,14,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,15,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,16,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,17,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,18,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,19,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,2,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,20,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,21,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,22,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,23,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,24,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,25,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,26,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,27,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,28,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,29,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,3,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,30,11,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,4,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,5,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,6,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,7,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,8,12,True,-231.93883363
t0_benzene,b3lyp5,diis,1e-09,9,11,True,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,1,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,10,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,11,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,12,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,13,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,14,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,15,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,16,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,17,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,18,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,19,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,2,100,False,-231.93883363
